Year;Month;Discharge Rate (cubic feet/second)
1990;1;643.1
1990;2;923.8
1990;3;1423
1990;4;996.4
1990;5;784.4
1990;6;411.0
1990;7;205.0
1990;8;186.6
1990;9;377.4
1990;10;825.5
1990;11;778.0
1990;12;818.3
1991;1;951.4
1991;2;733.1
1991;3;802.1
1991;4;815.8
1991;5;577.9
1991;6;368.5
1991;7;132.4
1991;8;186.7
1991;9;127.9
1991;10;264.2
1991;11;493.9
1991;12;569.5
1992;1;479.5
1992;2;509.8
1992;3;703.2
1992;4;805.8
1992;5;565.3
1992;6;275.2
1992;7;353.9
1992;8;416.5
1992;9;547.3
1992;10;543.1
1992;11;1018
1992;12;683.9
1993;1;1243
1993;2;618.9
1993;3;932.4
1993;4;1255
1993;5;621.5
1993;6;719.8
1993;7;446.7
1993;8;229.0
1993;9;441.8
1993;10;518.6
1993;11;487.6
1993;12;421.7
1994;1;343.3
1994;2;601.4
1994;3;970.5
1994;4;694.7
1994;5;537.1
1994;6;304.9
1994;7;412.5
1994;8;381.3
1994;9;248.9
1994;10;391.0
1994;11;652.4
1994;12;686.1
1995;1;689.0
1995;2;457.3
1995;3;911.1
1995;4;770.0
1995;5;627.2
1995;6;362.7
1995;7;378.8
1995;8;583.8
1995;9;171.0
1995;10;266.6
1995;11;713.6
1995;12;460.7
1996;1;399.4
1996;2;413.5
1996;3;618.2
1996;4;648.3
1996;5;962.5
1996;6;818.5
1996;7;285.4
1996;8;138.5
1996;9;188.0
1996;10;263.1
1996;11;564.7
1996;12;618.4
1997;1;601.2
1997;2;861.1
1997;3;1203
1997;4;909.7
1997;5;839.4
1997;6;543.8
1997;7;336.8
1997;8;332.8
1997;9;457.8
1997;10;396.5
1997;11;623.9
1997;12;522.7
1998;1;879.8
1998;2;1058
1998;3;1308
1998;4;1028
1998;5;668.5
1998;6;308.1
1998;7;208.3
1998;8;220.3
1998;9;152.2
1998;10;167.5
1998;11;313.4
1998;12;297.3
1999;1;425.8
1999;2;556.7
1999;3;482.1
1999;4;683.4
1999;5;411.6
1999;6;168.5
1999;7;234.1
1999;8;155.6
1999;9;101.4
1999;10;130.6
1999;11;236.9
1999;12;293.5
2000;1;256.6
2000;2;241.2
2000;3;315.1
2000;4;359.7
2000;5;574.7
2000;6;639.9
2000;7;538.6
2000;8;688.8
2000;9;571.9
2000;10;496.2
2000;11;498.2
2000;12;479.8
2001;1;445.8
2001;2;1335
2001;3;1032
2001;4;674.9
2001;5;693.1
2001;6;673.5
2001;7;153.3
2001;8;155.2
2001;9;203.8
2001;10;901.9
2001;11;722.3
2001;12;802.6
2002;1;480.2
2002;2;809.8
2002;3;928.6
2002;4;704.8
2002;5;598.0
2002;6;322.9
2002;7;110.1
2002;8;115.2
2002;9;89.1
2002;10;132.9
2002;11;271.6
2002;12;217.3
2003;1;186.7
2003;2;158.7
2003;3;398.5
2003;4;512.2
2003;5;531.1
2003;6;338.9
2003;7;107.0
2003;8;103.4
2003;9;152.6
2003;10;187.3
2003;11;437.8
2003;12;387.8
2004;1;381.4
2004;2;290.1
2004;3;765.1
2004;4;324.4
2004;5;971.2
2004;6;774.7
2004;7;396.0
2004;8;396.4
2004;9;174.8
2004;10;151.6
2004;11;452.0
2004;12;618.4
2005;1;1100
2005;2;961.4
2005;3;931.2
2005;4;576.6
2005;5;361.2
2005;6;171.1
2005;7;176.6
2005;8;144.6
2005;9;141.1
