#
#
# US Geological Survey, Water Resources Data
# retrieved: 2017-09-09 15:34:06 EDT      (nadww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://nwis.waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 04174500 HURON RIVER AT ANN ARBOR, MI
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		71299	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	04174500	00060	71299	1990	1	643.1
USGS	04174500	00060	71299	1990	2	923.8
USGS	04174500	00060	71299	1990	3	1423
USGS	04174500	00060	71299	1990	4	996.4
USGS	04174500	00060	71299	1990	5	784.4
USGS	04174500	00060	71299	1990	6	411.0
USGS	04174500	00060	71299	1990	7	205.0
USGS	04174500	00060	71299	1990	8	186.6
USGS	04174500	00060	71299	1990	9	377.4
USGS	04174500	00060	71299	1990	10	825.5
USGS	04174500	00060	71299	1990	11	778.0
USGS	04174500	00060	71299	1990	12	818.3
USGS	04174500	00060	71299	1991	1	951.4
USGS	04174500	00060	71299	1991	2	733.1
USGS	04174500	00060	71299	1991	3	802.1
USGS	04174500	00060	71299	1991	4	815.8
USGS	04174500	00060	71299	1991	5	577.9
USGS	04174500	00060	71299	1991	6	368.5
USGS	04174500	00060	71299	1991	7	132.4
USGS	04174500	00060	71299	1991	8	186.7
USGS	04174500	00060	71299	1991	9	127.9
USGS	04174500	00060	71299	1991	10	264.2
USGS	04174500	00060	71299	1991	11	493.9
USGS	04174500	00060	71299	1991	12	569.5
USGS	04174500	00060	71299	1992	1	479.5
USGS	04174500	00060	71299	1992	2	509.8
USGS	04174500	00060	71299	1992	3	703.2
USGS	04174500	00060	71299	1992	4	805.8
USGS	04174500	00060	71299	1992	5	565.3
USGS	04174500	00060	71299	1992	6	275.2
USGS	04174500	00060	71299	1992	7	353.9
USGS	04174500	00060	71299	1992	8	416.5
USGS	04174500	00060	71299	1992	9	547.3
USGS	04174500	00060	71299	1992	10	543.1
USGS	04174500	00060	71299	1992	11	1018
USGS	04174500	00060	71299	1992	12	683.9
USGS	04174500	00060	71299	1993	1	1243
USGS	04174500	00060	71299	1993	2	618.9
USGS	04174500	00060	71299	1993	3	932.4
USGS	04174500	00060	71299	1993	4	1255
USGS	04174500	00060	71299	1993	5	621.5
